year,month,state,precip,max,min,avg,max-min,3_month_precip,3_month_max,accumlat_precip,std,crop_year,yield,last_yield,last_2_yield,last_3_yield
2017,11,AC,7.151533,31.804852,22.182947,26.9938995,9.621905000000002,,,7.151533,-1.97481770494611,2018,3000.0,,,
2017,11,AL,0.6499115,27.667755,19.264008,23.4658815,8.403747,,,0.6499115,-1.7653068976092152,2018,3000.0,,,
2017,11,AM,4.262881,32.83904,23.752598,28.295819,9.086441999999998,,,4.262881,-2.121770388069486,2018,2500.0,,,
2017,11,AP,0.0,33.404392,22.760607,28.0824995,10.643785,,,0.0,-1.8054025554883315,2018,2789.4736842105262,,,
2017,11,BA,0.010839564,30.738987,20.720364,25.7296755,10.018623000000002,,,0.010839564,-1.955068574962291,2018,2942.9590017825312,,,
2017,11,CE,0.0,34.179768,21.721657,27.9507125,12.458111000000002,,,0.0,-0.9357035628274696,2018,,,,
2017,11,DF,0.049049728,28.372671,18.3477,23.3601855,10.024971,,,0.049049728,-1.0136720712705038,2018,3126.7605633802814,,,
2017,11,GO,5.4017143,28.666847,20.226265,24.446556,8.440582,,,5.4017143,-1.0971734136556006,2018,3055.5889423076924,,,
2017,11,MA,0.013569504,36.0817,24.734375,30.4080375,11.347324999999998,,,0.013569504,-1.2059729836476651,2018,2845.338983050847,,,
2017,11,MG,7.6294274,26.497286,18.772959,22.6351225,7.724326999999999,,,7.6294274,-1.193452905380785,2018,3129.075182967398,,,
2017,11,MS,11.529804,28.693672,18.287632,23.490651999999997,10.40604,,,11.529804,-0.9563750384660022,2018,3008.4876543209875,,,
2017,11,MT,1.2156817,34.61589,21.92317,28.26953,12.69272,,,1.2156817,-1.6020658716887173,2018,3067.094331685771,,,
2017,11,PA,0.33804995,33.51435,24.06723,28.79079,9.447120000000002,,,0.33804995,-1.8538032258425785,2018,2985.1301115241636,,,
2017,11,PI,0.0,36.424816,24.2951,30.359958,12.129715999999998,,,0.0,-0.967182782814218,2018,2526.8361581920904,,,
2017,11,PR,19.880419,23.45294,16.459435,19.9561875,6.9935050000000025,,,19.880419,-1.402745961011533,2018,3284.1950861752844,,,
2017,11,RO,0.07939626,33.844585,22.655237,28.249911,11.189348000000004,,,0.07939626,-1.8798065754204436,2018,3156.6666666666665,,,
2017,11,RR,1.2749102,32.999897,23.60317,28.3015335,9.396726999999998,,,1.2749102,-1.898998044058509,2018,3066.666666666667,,,
2017,11,RS,10.426141,22.608078,14.847576,18.727827,7.760501999999999,,,10.426141,-1.885727945189716,2018,3082.027812004929,,,
2017,11,SC,36.700768,21.47729,13.500267,17.4887785,7.977023000000001,,,36.700768,-1.7830177187736482,2018,3183.3084947839047,,,
2017,11,SP,11.990692,22.576622,16.717253,19.6469375,5.859369000000001,,,11.990692,-1.2240390614408183,2018,3088.819226750262,,,
2017,11,TO,0.07688947,36.813026,26.26786,31.540443,10.545166000000002,,,0.07688947,-1.2612612054666483,2018,2877.5303643724696,,,
2017,12,AC,79.4163626748,35.676876,18.842716,27.41413709677419,14.074086999999995,,,86.5678956748,-1.941122792345826,2018,1000.0,3000.0,,
2017,12,AL,21.9562590623,30.61811,18.717009,24.583921306451614,10.594219,,,22.6061705623,-1.5827959309449298,2018,,3000.0,,
2017,12,AM,137.25273742,34.665073,21.998676,27.820301096774195,11.241704999999996,,,141.51561841999998,-1.63741505460852,2018,,2500.0,,
2017,12,AP,18.989402578,34.191742,22.53734,28.536074612903224,11.101579999999998,,,18.989402578,-1.525044102421444,2018,2789.4736842105262,2789.4736842105262,,
2017,12,BA,9.563372732,33.386356,19.489285,26.078531790322582,11.087036,,,9.574212296,-2.1912658046598352,2018,2942.7527405602923,2942.9590017825312,,
2017,12,CE,6.0837789209,35.65079,21.401937,28.67052720967742,13.703746000000002,,,6.0837789209,-0.6337913943965964,2018,,,,
2017,12,DF,24.95172031,37.37568,15.494803,25.53701851612903,18.135041,,,25.000770038,-1.412826454423169,2018,3180.555555555555,3126.7605633802814,,
2017,12,GO,43.86781514464,38.908733,17.528347,28.416554096774195,16.942940000000004,,,49.26952944464,-1.365824483115245,2018,3120.0589970501474,3055.5889423076924,,
2017,12,MA,12.7738494206,37.692917,23.108738,30.24727098387097,13.511393000000002,,,12.7874189246,-1.015827733467956,2018,2844.6389496717725,2845.338983050847,,
2017,12,MG,56.1241188907,34.392483,18.01693,25.487935467741934,15.369559,,,63.753546290699994,-1.1940675760895478,2018,3255.6084296397007,3129.075182967398,,
2017,12,MS,141.3808104095,37.604134,14.098016,26.93674440322581,15.625832,,,152.9106144095,-0.399701119326701,2018,3100.5780346820807,3008.4876543209875,,
2017,12,MT,99.46593638335,38.576202,19.2754,29.07601272580645,15.66557,,,100.68161808335,-0.9756137275876516,2018,3155.143515608632,3067.094331685771,,
2017,12,PA,73.368577805,34.94771,22.750847,28.71024987096774,11.784347,,,73.706627755,-1.3546021135068995,2018,2986.9158878504672,2985.1301115241636,,
2017,12,PI,12.9542734911,37.784946,23.08322,30.48931991935484,14.378206000000002,,,12.9542734911,-0.8474950079031445,2018,2526.8361581920904,2526.8361581920904,,
2017,12,PR,298.111105617,34.12088,9.212998,21.34680272580645,18.988271,,,317.99152461700004,-0.2901145439626159,2018,3284.1950861752844,3284.1950861752844,,
2017,12,RO,117.6270791842,36.33833,19.907827,27.826337145161293,13.132040000000003,,,117.7064754442,-0.8256594608840415,2018,3150.8196721311474,3156.6666666666665,,
2017,12,RR,29.42023911447,34.23946,20.683405,27.93951629032258,11.581612,,,30.69514931447,-1.6310256148983688,2018,3066.666666666667,3066.666666666667,,
